dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.6511783285481589,0.8629619454051823,0.8661176538527535,0.9340763269394179,0.9671968399321382,37.087432622909546,0.15164470672607422,0.17749718,0.15087211,0.0
mnist,tsne,0,777,49.46771787370954,0.8576285940037889,0.8730556482303434,0.9238413337577126,0.9679726859408808,62.45348334312439,0.15131831169128418,3.5822444,2.9881759,0.11915
fmnist,umap,0,777,0.2346593996116093,0.9289478550506122,0.9395868815889432,0.9634113928301324,0.9851108359784034,32.10668158531189,0.15110492706298828,0.43173617,0.41719657,0.028449999999999996
fmnist,tsne,0,777,25.469703924996512,0.9262890887111095,0.9433926499688522,0.9655741383690406,0.9855948326962778,63.66816735267639,0.15415310859680176,5.222082,4.577406,0.08919999999999999
blobs,umap,0,777,0.6460952758789062,0.8602016034055067,0.8708945785474528,0.9538523274478331,0.9587319422150883,0.6629202365875244,0.0057985782623291016,0.37434015,0.02248585,0.0
blobs,tsne,0,777,15.686189651489258,0.9134414432323055,0.9026012200478591,0.9628731942215089,0.9637720706260032,0.8377394676208496,0.005927085876464844,1.0339482,0.15631884,0.0
har,umap,0,777,2.1050399101323922,0.8786290471239031,0.9042523758797039,0.9079746350528572,0.9476236663433559,7.316711187362671,0.009162664413452148,0.31009045,0.010675951,0.0020833333333333333
har,tsne,0,777,47.245694198386396,0.8856444193603272,0.8944379026322596,0.9469881842164606,0.9672493051536812,7.140328884124756,0.008970022201538086,2.8973758,0.6474219,0.007666666666666666
mnist,umap,1,778,0.5639401473999024,0.8628368253862834,0.8680507135311715,0.9337666099205457,0.9699006689812855,57.36441731452942,0.15021657943725586,0.16009578,0.1352631,0.0
mnist,tsne,1,778,52.431589573451454,0.858488550246971,0.8729922280010922,0.9261322778360164,0.9691758273204832,53.55784487724304,0.15091204643249512,2.5699496,1.9902025,0.0
fmnist,umap,1,778,0.2919363930991718,0.9253743414134284,0.9355195148111114,0.9620704956184791,0.9836861277634533,32.682612895965576,0.15357589721679688,0.33867368,0.3131722,0.0397
fmnist,tsne,1,778,33.0831568712507,0.9274085380656021,0.9442165140511776,0.9657224297073244,0.9854754468392021,49.035614013671875,0.15114974975585938,5.4029245,5.054637,0.06634999999999999
blobs,umap,1,778,0.7531763911247253,0.8861371639244406,0.8679616853232133,0.9547191011235955,0.9564526484751203,0.6001415252685547,0.005286455154418945,0.39258856,0.029498314,0.0
blobs,tsne,1,778,11.538281440734863,0.9141152135697977,0.9075394361799038,0.9574959871589085,0.9610593900481541,0.7082967758178711,0.005570650100708008,1.0350474,0.065620944,0.0
har,umap,1,778,0.710897715489455,0.8900395572988431,0.8998347358049875,0.9421651492798866,0.9607153045505302,11.524832725524902,0.008903741836547852,0.2585541,0.07785543,0.0004166666666666667
har,tsne,1,778,36.51634890078111,0.8762269362856331,0.8828323571546057,0.947348308867679,0.9665482099726408,7.087630748748779,0.009209156036376953,2.6624382,0.61616516,0.0
mnist,umap,2,779,0.6271987243379865,0.8618180925694265,0.8656958923751845,0.933382154464304,0.9678094527552042,39.34838366508484,0.15256094932556152,0.11043435,0.088770136,0.0
mnist,tsne,2,779,44.46973051670619,0.8582564703226153,0.8740154974345491,0.9258367463740397,0.9693102543063298,76.73861932754517,0.15116286277770996,3.8371525,3.3681037,0.0016
fmnist,umap,2,779,0.30540915871518,0.9255425615383324,0.9381213443644039,0.9605377108634268,0.9839718537293297,45.13408327102661,0.15091276168823242,0.3763066,0.34549397,0.010499999999999999
