dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.987927540234157,0.8616057542730633,0.8623667297686222,0.9327777469551277,0.9638423820522629,17.409759998321533,0.15589642524719238,0.4335944,0.4095846,0.010150000000000001
mnist,tsne,0,777,52.0778713117327,0.8724511893907277,0.8718252259213869,0.9472888883697705,0.9674181147634329,27.993979930877686,0.16026735305786133,9.230427,8.7483425,0.0688
fmnist,umap,0,777,0.2921432333503451,0.9297116573189278,0.9376384228542952,0.9649189075544369,0.9837088164783727,22.7924747467041,0.15671658515930176,0.7322227,0.6954643,0.0605
fmnist,tsne,0,777,33.54790515136719,0.9313928299238423,0.9411771229434318,0.9742336645632641,0.9834482583418258,47.70094847679138,0.15729928016662598,10.841367,9.506632,0.17165
blobs,umap,0,777,0.5206279158592224,0.8679826814262255,0.8759904737551574,0.9580417335473516,0.9610433386837881,2.3844735622406006,0.0598301887512207,0.4688843,0.033726383,0.0
blobs,tsne,0,777,7.959816932678223,0.9098144190672759,0.9081096973892431,0.9612038523274479,0.9653130016051364,3.156090021133423,0.06059527397155762,2.196465,0.25552446,0.0
har,umap,0,777,0.45530261015510465,0.9005218730620899,0.9070130248595982,0.9470548840292664,0.9597766167572752,6.309917688369751,0.08676695823669434,0.38107672,0.11653086,0.0004166666666666667
har,tsne,0,777,25.109508097229597,0.8802251488873606,0.8820484710038082,0.9559172650631542,0.9635858417081673,8.969517946243286,0.08911657333374023,3.6815808,0.837426,0.004583333333333333
mnist,umap,1,778,0.7819715157747269,0.8669192683594313,0.8665585681522309,0.9385039172343712,0.9684957352808057,18.522974014282227,0.1581263542175293,0.6672855,0.5393023,0.10374999999999998
mnist,tsne,1,778,49.35424777657645,0.8701893728370851,0.8712011536919287,0.9443102981069377,0.9682680597206689,20.79259753227234,0.1626110076904297,4.739165,3.4486365,0.00155
fmnist,umap,1,778,0.33840662950703077,0.9311165081606955,0.9350260788296884,0.9694802211054689,0.9825520219820651,66.28541278839111,0.1564171314239502,0.36103576,0.31235543,0.00825
fmnist,tsne,1,778,37.57895072283063,0.9306744424756844,0.942764541556392,0.9694566242579447,0.9836844107796217,43.02972459793091,0.16773080825805664,10.60334,10.051127,0.10834999999999999
blobs,umap,1,778,0.6510481834411621,0.8867065883421485,0.8719418569392836,0.956083467094703,0.9578651685393258,0.9309518337249756,0.06163740158081055,0.4857346,0.050129257,0.0
blobs,tsne,1,778,9.75256061553955,0.9122839234721157,0.9178177030799987,0.9632584269662922,0.9670144462279294,1.3682811260223389,0.060714006423950195,2.0153482,0.29923072,0.0
har,umap,1,778,0.5096924087515049,0.8908488174613064,0.9002079314235354,0.9412265973314641,0.9595244887479725,5.394370079040527,0.08885502815246582,0.42076397,0.09198985,0.004083333333333333
har,tsne,1,778,26.161286918314538,0.8758469031486279,0.8768844748251434,0.9563181431641522,0.9639329252554563,12.383006572723389,0.08906888961791992,3.9363947,1.1073424,0.0005
mnist,umap,2,779,0.7365113969530378,0.8672163355392937,0.8641110096074869,0.9415294237884022,0.9667128140138586,50.612507343292236,0.15916085243225098,0.36835012,0.35021,0.035449999999999995
mnist,tsne,2,779,39.28222194126674,0.8723349721495886,0.8722303512669917,0.9474956681198735,0.9685625049275683,31.873718976974487,0.1569349765777588,5.2787547,4.2829876,0.011
fmnist,umap,2,779,0.3155671244263649,0.9292027265203167,0.9386484994784831,0.96209550576562,0.983335068810755,24.29128861427307,0.15836882591247559,1.1352092,1.0872128,0.14500000000000002
fmnist,tsne,2,779,29.727889238630024,0.930885028588306,0.9412778093359592,0.9744870481602285,0.9833161002274712,80.70571064949036,0.168379545211792,12.6964445,11.837966,0.18885
blobs,umap,2,779,0.8073635697364807,0.8691914685836089,0.8823981867493836,0.9571107544141252,0.9641412520064205,1.0683033466339111,0.059659719467163086,0.47160664,0.033700816,0.0
blobs,tsne,2,779,16.281280517578125,0.9154438793716653,0.9167913911478225,0.9632423756019262,0.9658747993579454,0.9056315422058105,0.05886673927307129,1.9880415,0.23868796,0.0
har,umap,2,779,0.6290854756168436,0.8842917833325119,0.8977088623510012,0.9295542659352781,0.9557071131071245,5.3376007080078125,0.0904233455657959,0.4312521,0.03860045,0.0018333333333333335
har,tsne,2,779,31.83216093490704,0.8783707386611445,0.8835823618967685,0.9502303928360869,0.96369315912592,8.801676988601685,0.09014368057250977,3.942031,0.5403743,0.007166666666666666
