dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.7414532213892255,0.8474604719873575,0.8663674023798965,0.9098939032473771,0.9660885940296852,108.99844527244568,0.05104398727416992,0.27087596,0.25372303,0.0
mnist,tsne,0,777,62.354449026925224,0.8460896702871125,0.8731891324467488,0.9075528746338999,0.9674880614142924,134.0029833316803,0.05728507041931152,4.325047,3.8953583,0.0196
fmnist,umap,0,777,0.24616547094072613,0.924182869106213,0.9396390524862652,0.9562428101302046,0.984593104032284,46.25410032272339,0.05158424377441406,0.7081388,0.6888884,0.0996
fmnist,tsne,0,777,32.87236379132952,0.9248330246098324,0.9459610002591545,0.9603057428437106,0.9868525496333889,115.89989471435547,0.05262017250061035,8.803429,8.496248,0.194
blobs,umap,0,777,0.9486306309700012,0.8641020892236329,0.8734886460511904,0.9573515248796147,0.960048154093098,0.9241173267364502,0.014569282531738281,0.39580995,0.0709103,0.0
blobs,tsne,0,777,13.95297622680664,0.9104264513449408,0.9105336918517752,0.9588282504012842,0.9634991974317817,1.4349443912506104,0.011285781860351562,1.2006483,0.36912403,0.0
har,umap,0,777,0.8679582402905021,0.89559887487554,0.910651607478538,0.9340261419795852,0.9600536043709433,13.62502145767212,0.027161121368408203,0.2689564,0.08783805,0.0
har,tsne,0,777,58.15067951339292,0.8869666931271245,0.8986484387320642,0.9433589536687614,0.9674871694555611,22.714410305023193,0.02434086799621582,2.5852292,0.6726246,0.0025833333333333333
mnist,umap,1,778,0.6913294586624418,0.8484097308055307,0.86765219678318,0.913119123053428,0.9675907563196977,69.04422163963318,0.049059391021728516,0.28658465,0.26328683,0.0
mnist,tsne,1,778,63.525156860351565,0.847380753052062,0.8742814182469428,0.9088783452714324,0.9690348419236059,121.8814549446106,0.05352187156677246,3.2668564,2.648793,0.0
fmnist,umap,1,778,0.3233989127278328,0.9213132517452521,0.9370582761118993,0.9558433018650299,0.9835562706410365,66.37368583679199,0.05036664009094238,0.3687908,0.34493133,0.09109999999999999
fmnist,tsne,1,778,36.192144060407365,0.9261228771550915,0.9457761390306548,0.9615175859440929,0.9862364532019704,110.21511721611023,0.04946327209472656,6.981431,6.7377753,0.1238
blobs,umap,1,778,1.1081340312957764,0.8870295714482314,0.8720569574682744,0.9555216693418941,0.9574638844301766,1.1926052570343018,0.014602899551391602,0.48043928,0.12950218,0.0
blobs,tsne,1,778,16.193376541137695,0.9168238493138803,0.9143982967590638,0.9578009630818619,0.960513643659711,1.364077091217041,0.014165401458740234,1.0836439,0.2690503,0.0
har,umap,1,778,0.7031199487520582,0.8889217557419298,0.9026338450563097,0.9328044894000277,0.9593758745011098,13.05626630783081,0.024918556213378906,0.24696545,0.04934138,0.0
har,tsne,1,778,76.88054884162258,0.8781135405182138,0.8911050071733759,0.940396857093953,0.9666230604754026,11.207847595214844,0.027047157287597656,2.923145,0.4669993,0.0
mnist,umap,2,779,0.7088018313135419,0.8462816239409198,0.8651986922559122,0.9109200025696357,0.9662126490315686,55.91840386390686,0.051640987396240234,0.20977804,0.18806592,0.0
mnist,tsne,2,779,64.13944552176339,0.8452992274118611,0.8742827593767237,0.904887315635941,0.9681543708626675,106.50194144248962,0.05029869079589844,4.4743567,4.0586166,0.0014
fmnist,umap,2,779,0.2480478514603206,0.9270368587671157,0.9406546269812496,0.9598849445630305,0.9848859198565676,74.4468207359314,0.0506901741027832,0.35388958,0.3147429,0.015
fmnist,tsne,2,779,33.628121856689454,0.9238162029746279,0.9463915555210023,0.9591301520465104,0.9866175710518862,132.3348753452301,0.05180621147155762,7.5226226,7.3487854,0.1082
blobs,umap,2,779,0.7869734168052673,0.8663495349352898,0.881256913620534,0.959470304975923,0.964494382022472,0.8002641201019287,0.011042118072509766,0.48564735,0.14192191,0.0
blobs,tsne,2,779,14.82495403289795,0.9197244292888319,0.9194172938909577,0.9658587479935794,0.9679454253611557,1.5180950164794922,0.009834051132202148,1.2637275,0.39543152,0.0
har,umap,2,779,0.5946640735049483,0.8881170064960187,0.9024553221302215,0.9312286893418862,0.9600214091456175,12.842154264450073,0.027118921279907227,0.2891543,0.08358812,0.0
har,tsne,2,779,56.20332990955312,0.8808075195127812,0.893231362734555,0.9389581244719032,0.9665680433182002,20.665776252746582,0.027211427688598633,2.4117758,0.55014694,8.333333333333333e-05
mnist,umap,3,780,0.7049967274665833,0.8503562696660055,0.8677587745739742,0.9114606480737952,0.96577230691962,72.99638295173645,0.0523989200592041,0.32153273,0.29549176,0.0018500000000000003
mnist,tsne,3,780,62.69869027273995,0.8481869340947861,0.8745441717815662,0.9097872341668103,0.9681921853875332,124.42340850830078,0.0483090877532959,2.8496187,2.267803,0.0002
fmnist,umap,3,780,0.3285496668815613,0.9263180254308705,0.9402267882289038,0.9584842566014816,0.985197978747945,66.98134016990662,0.052263498306274414,0.5047321,0.48495394,0.01625
fmnist,tsne,3,780,32.393048130580354,0.9244058183701259,0.9462914115742378,0.9603712539530048,0.9869609648981927,124.21443319320679,0.05127549171447754,4.6622,4.345652,0.0004
blobs,umap,3,780,0.8176472187042236,0.8954527460380632,0.9066826829080847,0.9645264847512038,0.9628892455858749,1.3181607723236084,0.015998125076293945,0.39289638,0.119294964,0.0
blobs,tsne,3,780,9.555234909057617,0.91185974250849,0.9134979164731678,0.9651203852327448,0.9653772070626003,1.1071693897247314,0.020428180694580078,1.0289109,0.16875753,0.0
har,umap,3,780,0.8119117377107289,0.881519944578884,0.8960698001546442,0.9293113753745921,0.9549344276993047,11.770760536193848,0.027162551879882812,0.32636452,0.07329157,0.11291666666666667
har,tsne,3,780,80.04210653221804,0.8888062609783832,0.8990562074292886,0.9415177128077226,0.967148236598228,8.376858472824097,0.02445816993713379,2.6815555,0.49162737,0.008833333333333334
mnist,umap,4,781,0.7172489576339721,0.8459244381633236,0.8645840096078815,0.9073605899649887,0.9644297190044998,55.123220682144165,0.05161166191101074,0.34098697,0.30932242,0.0
mnist,tsne,4,781,69.00746735927036,0.8446496038401844,0.8733281011487164,0.903959335515577,0.9677681663021482,79.87725925445557,0.050490379333496094,3.1820714,2.3934894,0.004399999999999999
fmnist,umap,4,781,0.30534435394832066,0.9264845409494136,0.9422949381257488,0.9575803054946402,0.9860299888162448,82.57842779159546,0.051995277404785156,0.34687704,0.33219194,0.0018000000000000002
fmnist,tsne,4,781,31.5200846623012,0.9267190947690516,0.9475715722971313,0.9612571154087619,0.9872764869576389,132.5248486995697,0.051116228103637695,7.2787743,6.8357697,0.0057
blobs,umap,4,781,0.8091581463813782,0.8814874108719959,0.8934083070217422,0.9629695024077046,0.9673354735152488,0.8175742626190186,0.015999317169189453,0.41895217,0.10945775,0.0
blobs,tsne,4,781,15.161962509155273,0.9154291411138562,0.9167387692598006,0.963916532905297,0.9697752808988764,0.7176833152770996,0.012430906295776367,1.198121,0.27792865,0.0
har,umap,4,781,0.7991440519329186,0.8928585680761447,0.9048178082822312,0.9314175136591979,0.9601442128742865,10.990899562835693,0.02703380584716797,0.35938564,0.075687386,0.09533333333333333
har,tsne,4,781,46.2790758926584,0.8851049080690401,0.8940358879212275,0.9461411916852095,0.9684734029402255,19.07739782333374,0.02723526954650879,2.6552308,0.5307074,0.0105
mnist,umap,5,782,0.7445395071165902,0.845625518211016,0.8638747802966339,0.9085929726304601,0.9653018767100487,34.8742356300354,0.05721688270568848,0.366966,0.33538502,5e-05
mnist,tsne,5,782,65.37872171892438,0.8459884475875192,0.8726504336388775,0.9074132704161934,0.9681276787721813,60.0126256942749,0.08504343032836914,3.9549758,3.2469776,0.0
fmnist,umap,5,782,0.23418883677891322,0.925944937107161,0.9400922369067647,0.9589617533091359,0.9846037767804217,34.00745463371277,0.023250102996826172,0.5771828,0.55378044,0.11915000000000002
fmnist,tsne,5,782,35.40415029035296,0.925091206283176,0.9469920919688651,0.9601429359839515,0.9869423204394077,33.047611951828,0.023318767547607422,7.1890397,6.925235,0.07265
blobs,umap,5,782,1.2194725275039673,0.8729705577115936,0.883303252627283,0.963884430176565,0.9643178170144462,0.7048280239105225,0.0029146671295166016,0.5416948,0.16203609,0.0
blobs,tsne,5,782,11.54209041595459,0.9188723260165069,0.9261382112790393,0.9647993579454254,0.9669341894060995,0.51837158203125,0.0037627220153808594,1.1848592,0.27405423,0.0
har,umap,5,782,0.701082351800889,0.8972886909806311,0.9103016519140863,0.9350259599475096,0.9604740441278354,7.459825277328491,0.01383829116821289,0.2879335,0.06746817,0.0008333333333333335
har,tsne,5,782,71.29619304608883,0.8841066809115721,0.8952699959897505,0.943785642287953,0.9687298779841713,6.517810821533203,0.00944662094116211,2.5984957,0.6433758,8.333333333333333e-05
mnist,umap,6,783,0.7377777072361538,0.8484407784200052,0.8660316408930204,0.9122389177161779,0.9647844630483471,31.92377996444702,0.025927066802978516,0.25678053,0.2257329,0.0021999999999999997
mnist,tsne,6,783,65.85464853777204,0.8451416836225413,0.8735409984138754,0.9046740592359422,0.9666497148580422,52.89209222793579,0.022064924240112305,4.35897,3.921949,0.00335
fmnist,umap,6,783,0.28290462289537704,0.9281906292079074,0.9427806900974794,0.9605567816481293,0.9857363875010585,22.755274772644043,0.02422952651977539,0.64747155,0.6284615,0.0033
fmnist,tsne,6,783,31.73506585257394,0.9259709480313181,0.9459720087593404,0.9628550112275558,0.9866272977068922,66.09431099891663,0.024253368377685547,5.7766824,5.518352,0.01625
blobs,umap,6,783,0.7963052988052368,0.9219399014723093,0.9345388667326662,0.9642536115569823,0.9691974317817015,0.5127880573272705,0.0033121109008789062,0.42673692,0.08927248,0.0
blobs,tsne,6,783,13.760814666748047,0.9211643054670701,0.9195550728094762,0.9671749598715891,0.9713643659711075,0.42636537551879883,0.0034084320068359375,1.108116,0.29911137,0.0
