dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.763597694328853,0.847302813167061,0.8661525333961961,0.9105906044775901,0.965529698272212,122.4071114063263,0.05023789405822754,0.20686686,0.18310468,0.0
mnist,tsne,0,777,68.51783635602679,0.8459793252931593,0.8734448525100837,0.9071775384642339,0.9675215484390923,123.1401515007019,0.05259537696838379,5.5795393,5.1705604,0.0024000000000000002
fmnist,umap,0,777,0.25975517661230907,0.9258363711807834,0.9402559165051049,0.958903232776871,0.98507749495563,79.43980717658997,0.049993276596069336,0.4649195,0.4412512,0.0025
fmnist,tsne,0,777,36.36310876028878,0.9244930952014321,0.9464093276183586,0.9598097593594599,0.9869375695334651,108.14789414405823,0.05164027214050293,8.406422,8.026477,0.11545000000000001
blobs,umap,0,777,1.2790788412094116,0.8593981473259408,0.8707605853643768,0.9571589085072231,0.9609951845906902,0.9577300548553467,0.01496434211730957,0.4327683,0.10667638,0.0
blobs,tsne,0,777,14.583945274353027,0.9110103015698838,0.9125951224627604,0.9599197431781702,0.962792937399679,1.0731685161590576,0.01499795913696289,1.1470146,0.31130686,0.0
har,umap,0,777,0.690604635862097,0.8965276843060237,0.9095769539536794,0.9365224266234137,0.9598547275360193,14.186677694320679,0.025219440460205078,0.2402996,0.058529686,0.0
har,tsne,0,777,55.774838296795906,0.8898918710683922,0.8992138078794013,0.9437582016317682,0.9674591854200458,24.611385583877563,0.02759552001953125,2.5983582,0.52274674,0.0035
mnist,umap,1,778,0.6489291953018733,0.850495254838103,0.8679347880669543,0.9155788513144563,0.968306064048169,82.0580062866211,0.051550865173339844,0.2803431,0.25743672,0.0004
mnist,tsne,1,778,63.830010498046875,0.8463757791296925,0.8738126383464845,0.9073484279961805,0.968667646826938,143.02450680732727,0.05142354965209961,3.7860732,3.101956,0.0
fmnist,umap,1,778,0.33551456928253176,0.9209804822583414,0.9360569161145851,0.9555114392587769,0.9831837552305226,85.01960706710815,0.05149269104003906,0.40480226,0.3791831,0.06705
fmnist,tsne,1,778,32.175457231794084,0.92552787901697,0.9461462240326157,0.9608253348556478,0.9866590735879414,167.0631868839264,0.051247596740722656,7.003039,6.736406,0.11234999999999999
blobs,umap,1,778,0.9468051195144653,0.8855936239870186,0.8741801629175656,0.9559550561797753,0.9570465489566613,1.1994757652282715,0.011803865432739258,0.47479954,0.13014379,0.0
blobs,tsne,1,778,13.21927261352539,0.9099296559449609,0.91070479901816,0.9567094703049759,0.9630658105939005,1.5415143966674805,0.011685848236083984,1.1216552,0.30823678,0.0
har,umap,1,778,0.8116096726155304,0.8871117282508132,0.9023821095515083,0.9324593076803951,0.9591748241488642,14.881367206573486,0.026128053665161133,0.31253743,0.049656156,8.333333333333333e-05
har,tsne,1,778,59.02345426098798,0.8798594193966146,0.8904809568846939,0.9405879907734189,0.9665037887123812,16.742092609405518,0.025445222854614258,2.9290102,0.4711425,0.00016666666666666666
