dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.6915658431053162,0.8575003748768718,0.8663173938535705,0.9245451160862113,0.9670952488020533,42.938374280929565,0.04956769943237305,0.18823394,0.15811864,0.0
mnist,tsne,0,777,59.226809064592636,0.850384539433731,0.8730970773326086,0.9130221076268539,0.9674280925419245,121.58517003059387,0.052436113357543945,5.133027,4.4329634,0.04145
fmnist,umap,0,777,0.24262394905090331,0.9259120874863931,0.9391744833027803,0.9593904970200986,0.9847269762104298,35.82899284362793,0.052161216735839844,0.28087205,0.25267366,0.0025499999999999997
fmnist,tsne,0,777,28.175961569649832,0.9255342232489601,0.9438486837625171,0.9632458206919912,0.9857571781896333,140.87508058547974,0.05119943618774414,8.587002,7.9158525,0.1383
blobs,umap,0,777,0.8521421551704407,0.858804998488214,0.8727727840072548,0.9585874799357945,0.9608186195826646,1.4759254455566406,0.010210037231445312,0.3885635,0.031686496,0.0
blobs,tsne,0,777,11.534523963928223,0.91500071235932,0.9124015129152656,0.9650882825040128,0.9652487961476726,1.1076860427856445,0.010581731796264648,1.3682835,0.2312971,0.0
har,umap,0,777,0.4392550047252157,0.9010038182732809,0.9089302814762602,0.9462115593084954,0.9614779374407377,21.15850019454956,0.027676820755004883,0.27160564,0.04668421,0.0
har,tsne,0,777,38.40997880922719,0.8745759754935301,0.8830620093426178,0.9455076113859705,0.9656001488859365,14.35244870185852,0.02959918975830078,3.0740201,0.5158785,0.006166666666666667
mnist,umap,1,778,0.6081680072546005,0.8583524959047111,0.8683600166254899,0.9257790434531231,0.9695579993050304,58.51761841773987,0.052477359771728516,0.21414001,0.17341198,0.0
mnist,tsne,1,778,61.76364399501256,0.8499215360110456,0.8729840680755349,0.9133966583056172,0.9683282855566036,140.96333527565002,0.05057644844055176,4.239277,3.7974613,0.0
fmnist,umap,1,778,0.3081897721205439,0.9239347232123908,0.9356872628046505,0.9597409953250151,0.9831795503721592,39.644593715667725,0.04886770248413086,0.39398766,0.36482364,0.0513
fmnist,tsne,1,778,29.296891268048967,0.925606624645577,0.9444041767886706,0.9629403786124552,0.9855785330300385,106.06948781013489,0.049297332763671875,5.648949,5.1600757,0.0451
blobs,umap,1,778,0.5620784759521484,0.888130093086336,0.8724554450953637,0.9558908507223114,0.958314606741573,1.1911873817443848,0.010968208312988281,0.45071688,0.06926483,0.0
blobs,tsne,1,778,8.938410758972168,0.9161543209598587,0.9163440356897302,0.9621508828250401,0.9653611556982343,1.1728272438049316,0.009845256805419922,1.3595417,0.22485098,0.0
har,umap,1,778,0.5993526318805178,0.8886278719434374,0.9005199973800728,0.9372111599246876,0.9587850853241393,15.232627153396606,0.026022672653198242,0.323661,0.073190786,0.002916666666666667
har,tsne,1,778,35.5947292116981,0.8719131881257316,0.8813317946166662,0.9446645583548647,0.9660144756253617,15.808552265167236,0.026624679565429688,3.31054,0.80520874,0.0004166666666666667
mnist,umap,2,779,0.6739184929983957,0.8538954652368155,0.8651773466128926,0.9220877092574045,0.9664947541471876,48.2814679145813,0.05188155174255371,0.19655102,0.16533522,0.0
mnist,tsne,2,779,59.513131277901785,0.8484440806781337,0.8741082176309732,0.9108622850485165,0.9676487249643025,103.1537070274353,0.050701141357421875,5.4891825,4.670478,0.0013000000000000002
fmnist,umap,2,779,0.21884601377589363,0.9283820190619704,0.9395092749992252,0.9613704743021834,0.9844801685447394,51.2000846862793,0.05072331428527832,0.4325138,0.37617782,0.0107
fmnist,tsne,2,779,30.683620675223214,0.9254571795572523,0.9438113608333661,0.9639357620283769,0.9854949965105516,88.70351600646973,0.05193781852722168,6.9003344,6.3260984,0.10615000000000001
blobs,umap,2,779,0.5874255299568176,0.8739662119177716,0.8855057642761063,0.9639486356340289,0.9672873194221508,1.420548439025879,0.014992475509643555,0.43615407,0.04086023,0.0
blobs,tsne,2,779,13.784768104553223,0.9208586776000068,0.9200377058665374,0.9668539325842697,0.9699839486356341,3.1500020027160645,0.01024317741394043,1.4138472,0.229249,0.0
har,umap,2,779,0.5195879832228102,0.8892041648709667,0.8992201097181503,0.9388740365205248,0.96010413864867,7.737482070922852,0.02735733985900879,0.30445924,0.05841814,0.0
har,tsne,2,779,35.71770517439893,0.8779053506185672,0.8875153952289725,0.9442464279601268,0.9658256513080499,14.048667192459106,0.029592275619506836,2.7106133,0.30232254,8.333333333333333e-05
mnist,umap,3,780,0.6517547741276877,0.8604376622424881,0.8671091829278652,0.9267399119899784,0.9669301321902348,103.95568418502808,0.04909706115722656,0.2809624,0.24078484,0.0
mnist,tsne,3,780,61.45800598144531,0.8500826291847283,0.8736809944576468,0.9114018034170315,0.9670506568631173,72.62840914726257,0.049854278564453125,5.959302,5.6590533,0.04195
fmnist,umap,3,780,0.2720254447034427,0.9282606935299538,0.9396026113124506,0.9605337980091164,0.9851082575826152,73.5073823928833,0.05422830581665039,0.36406946,0.32386166,0.038900000000000004
fmnist,tsne,3,780,29.14507046726772,0.9260670519841203,0.9449391462807811,0.9637498196874973,0.9861961508025732,139.4266459941864,0.04954099655151367,3.9137363,3.3748634,0.0001
blobs,umap,3,780,0.6365339756011963,0.8889396123967016,0.9071952391588226,0.9618940609951846,0.9629855537720706,0.7648720741271973,0.02007603645324707,0.38211375,0.038228977,0.0
