dataset,projection,run_id,run,test_loss,trust_p2,cont_p2,trust,cont,fit_time,inference_time,D_dev,D_bias,E_NA
mnist,umap,0,777,0.7431927648271833,0.8509356313196846,0.8672622077702616,0.9159587427473493,0.966622917646097,31.510244607925415,0.15347909927368164,0.1614927,0.12863752,0.0
mnist,tsne,0,777,67.07905977085659,0.8510450706769533,0.875443871677923,0.912707925866011,0.9690379050461221,40.026893854141235,0.15110087394714355,3.9194858,3.4909618,0.0999
fmnist,umap,0,777,0.25638563653400964,0.926249624090731,0.9398701733527998,0.9580808676024424,0.9852624590829321,32.28036832809448,0.15264391899108887,0.62981206,0.6183309,0.01005
fmnist,tsne,0,777,30.976126900809152,0.9261091808797314,0.9458613976157513,0.9620589994189119,0.9869261112944248,80.74899482727051,0.1518115997314453,7.493927,7.1921873,0.168
blobs,umap,0,777,0.9714266657829285,0.8677552923238476,0.878997178243937,0.9558426966292135,0.9586035313001605,0.8661196231842041,0.005826711654663086,0.28425997,0.0421216,0.0
blobs,tsne,0,777,13.94668960571289,0.9086186960050066,0.9030112156932821,0.9576404494382023,0.9615248796147673,1.0630390644073486,0.0057866573333740234,0.8451313,0.14119032,0.0
har,umap,0,777,1.5031782056843621,0.8931841858875159,0.9099935397566303,0.9294896037949613,0.9589520386234028,6.380953311920166,0.008925199508666992,0.25485143,0.108717926,8.333333333333333e-05
har,tsne,0,777,76.79004864549313,0.8897043980798978,0.9033661450798802,0.9407533139346912,0.9671626361504835,7.87005090713501,0.009107112884521484,2.419821,0.6200543,0.006333333333333333
mnist,umap,1,778,0.8111895867415837,0.8513857732868441,0.8674118199475008,0.9179145420938443,0.9681447055285127,40.49732732772827,0.15041065216064453,0.2265825,0.20226824,0.01445
mnist,tsne,1,778,67.36654096330915,0.8513540263613717,0.873977429993042,0.9140594666253967,0.9697995362975638,59.17673325538635,0.15592503547668457,2.821909,2.2963405,0.0
fmnist,umap,1,778,0.3528506580080305,0.9245764600267581,0.9367450444462274,0.9595257153369289,0.9840048647875232,48.69745111465454,0.15091395378112793,0.55061954,0.53658307,0.23085
fmnist,tsne,1,778,36.02375179617746,0.9250048130507627,0.9459946832878626,0.9609433599738364,0.9865962576760565,84.46348452568054,0.15101003646850586,5.8556576,5.735171,0.1038
blobs,umap,1,778,0.8941962122917175,0.8856042007632624,0.8678027200993851,0.9556821829855537,0.9562921348314607,0.6865072250366211,0.005349874496459961,0.34454727,0.037882585,0.0
